Model,Dataset,Accuracy,F1,AUC
Logistic Regression,IBM_ONLY,0.7448979591836735,0.3935137739449529,0.7062523854844889
Logistic Regression,IBM_PLUS,0.7510204081632652,0.40453252114151744,0.734582313192199
Random Forest,IBM_ONLY,0.8442176870748298,0.4159537376204042,0.7726371827203499
Random Forest,IBM_PLUS,0.8619047619047618,0.4438946816184668,0.8195208149643733
XGBoost,IBM_ONLY,0.8605442176870748,0.46710882076140575,0.7775939145546593
XGBoost,IBM_PLUS,0.8741496598639455,0.5049195009552905,0.8066490631042498
